"camis","name","boro","cuisine","action","score","grade","rating","review_count","location.address1","coordinates.latitude","coordinates.longitude","ratings1"
41626762,"Eleven Madison Park","MANHATTAN","American","violations",0,"B",4.5,1764,"11 Madison Ave",40.7416907417333,-73.9872074872255,"*****"
50003047,"Eli's Manhattan Market","MANHATTAN","American","violations",10,"A",3,108,"1411 3rd Ave",40.77507,-73.9565,"***"
50002902,"Eli's Essentials and Wine Bar","MANHATTAN","American","violations",24,"B",2.5,54,"1270 Madison Ave",40.7839,-73.95677,"***"
40680918,"Eli's Table","MANHATTAN","American","violations",11,"A",3.5,32,"1413 3rd Ave",40.7750198,-73.9565473,"****"
40651300,"Elia Restaurant","BROOKLYN","Greek","violations",12,"A",4,131,"8611 3rd Ave",40.62302,-74.03089,"****"
50060422,"Elias' Cinco De Mayo","MANHATTAN","Mexican","violations",9,"A",4,18,"2337 Grand Concourse Ave",40.85864,-73.89975,"****"
50043596,"Tacos Times Square","BRONX","Mexican","violations",13,"A",4,72,"144B W 37th St",40.75255,-73.98864,"****"
40512788,"Elias Corner","QUEENS","Seafood","violations",8,"A",3.5,161,"2402 31st St",40.7722769546621,-73.9158142188523,"****"
41535378,"Brasserie Cognac East","MANHATTAN","American","violations",7,"A",3.5,72,"963 Lexington Ave",40.769097,-73.96286,"****"
41514254,"Elim Deli Cafe","MANHATTAN","Delicatessen","violations",20,"B",4.5,76,"851 Lexington Ave",40.76555,-73.96545,"*****"
40374192,"Elio's","MANHATTAN","Italian","violations",35,"C",3.5,178,"1621 2nd Ave",40.7767632368091,-73.9526632086427,"****"
50048662,"Elisa's Love Bites","BROOKLYN","Bakery","violations",27,"B",4.5,8,"",40.70238,-73.91978,"*****"
50056718,"Elite Cafe","QUEENS","Jewish/Kosher","violations",19,"B",4,38,"72-28 Main St",40.7256706058979,-73.8214972615242,"****"
41374355,"Elite Food Bar","MANHATTAN","American","violations",11,"A",4,62,"325 E 48th St",40.7533,-73.96808,"****"
50037812,"Elite Pastries Cafe","QUEENS","Bakery","violations",13,"A",4,95,"4736 Bell Blvd",40.75597,-73.7674637,"****"
50010990,"Elite Pool & Fitness Management","QUEENS","American","violations",12,"A",5,4,"129-09 26th Ave",40.7744405,-73.8399267,"*****"
41584315,"Elizabeth's Neighborhood Table","MANHATTAN","American","violations",9,"A",3,261,"680 Columbus Ave 93rd St",40.7910935871,-73.9690513557,"***"
50053284,"ELK Cafe","BROOKLYN","Caf̩/Coffee/Tea","violations",9,"A",4,69,"154 Prospect Park SW",40.654876,-73.973701,"****"
50057588,"Chic Inspiration - Personal Shopper and Image Consulting","MANHATTAN","Mediterranean","violations",13,"A",4.5,14,"133 W 72nd St",40.77816,-73.97982,"*****"
50001859,"Ellary's Greens","MANHATTAN","Californian","violations",13,"A",4,350,"33 Carmine St",40.7302830698004,-74.0029606944428,"****"
40400702,"Ellen's Stardust Diner","MANHATTAN","American","violations",12,"A",3.5,1339,"1650 Broadway",40.7618400790338,-73.9835502325409,"****"
50032968,"Ellie's Diner","BRONX","American","violations",25,"B",3,92,"58 Metropolitan Oval",40.8374585,-73.8601746,"***"
50050742,"The Ellington","MANHATTAN","American","violations",8,"A",3.5,206,"936 Amsterdam Ave",40.800714,-73.965906,"****"
50034739,"Ellington in the Park","MANHATTAN","American","violations",13,"A",3.5,64,"W 105th St Riverside Dr",40.8026985907188,-73.9717679584747,"****"
50058598,"IKEA","STATEN ISLAND","Sandwiches","violations",7,"A",2.5,333,"1000 Ikea Dr",40.6738246,-74.1699378,"***"
40395597,"Elmhurst Famous Pizza","QUEENS","Pizza","violations",10,"A",3,106,"8307 Broadway",40.741104,-73.879554,"***"
40872438,"Elmo","MANHATTAN","American","violations",14,"B",3.5,641,"156 7th Ave",40.742,-73.99755,"****"
50034665,"Elora's Mexican and Spanish Food","BROOKLYN","Mexican","violations",17,"B",3.5,185,"272 Prospect Park W",40.65844,-73.98231,"****"
50002565,"El Rey Coffee And Luncheonette","MANHATTAN","Caf̩/Coffee/Tea","violations",26,"B",4,191,"100 Stanton",40.7213779,-73.9879345,"****"
41116537,"Elsa La Reina Del Chicharron","MANHATTAN","Latin","violations",31,"C",4.5,18,"1249 St Nicholas Ave",40.84381,-73.93798,"*****"
41174643,"Elsa La Reina Del Chicharron","BRONX","Latin","violations",22,"B",4,81,"4840 Broadway",40.8662599,-73.92474,"****"
41689872,"Elsewhere Espresso","MANHATTAN","Caf̩/Coffee/Tea","violations",10,"A",4,86,"335 E 6th St",40.7268278898069,-73.9869972123936,"****"
